文本,分类,情感,编号
意见要提，时间也要给，这两年直播间的改变都看得到，希望都越来越好吧,主播支持度,positive,6655
李佳琦我觉得这个时间节点的零食节必然是会有很多礼盒以及适合送礼的品，要过年了，可能年纪轻的美眉体会不拜年送礼什么的就是要买这些，平时大小零食节不，,主播支持度,positive,6656
佳琦的选品踩雷的真的算少的了！,选品,positive,6657
李佳琦拜托各位帮我选一选购物几年都没怎么退过货最近在直播间买的衣服都踩雷了好尴尬,服饰类质量,negative,6658
快被自己买的发箍笑死了，佳琦直播间踩雷了,饰品质量,negative,6659
李佳琦佳琦直播间推荐的零食真的很对我口味！！,食品质量,positive,6660
买的零食都没踩雷过双十一买的莎布蕾火山曲奇，这一次的面包新语面包片，都好好吃！,食品质量,positive,6661
我又在李佳琦直播间踩雷了,主播信任度,negative,6662
佳琦直播间的衣服质量这么差闭眼选也不会要这么糟糕的衣服吧，nikoand和apea的卫衣掉绒到我怀疑人生,服饰类质量,negative,6663
卡拉佛外套369，像套了块铁质东西在身上一样，一收到就马上拿去退了，真是无语，怎么回事啊佳琦？,服饰类质量,negative,6664
李佳琦sincethen的阔腿裤踩雷了，我是梨型身材，第一次在李佳琦直播间买下装。,服饰类质量,negative,6665
刚拿到手摸了摸料子，我可太喜欢了。,服饰类质量,positive,6666
光看正面和侧面的时候感觉真的不显瘦，我本来想了好几个个理由想说服自己留下来，毕竟这布料质感我可以打满分。,服饰类质量,positive,6667
关注佳琦直播间第三个年头了，但是感觉现在选品的质量越来越差了，你们有这么觉得吗？,选品,negative,6668
之前一直觉得终于能找到一个靠谱的直播，真的希望佳琦直播间能保持初衷，让我们有个放心的购买途径,主播信任度,positive,6669
踩雷越来越频繁了，商家发货也越来越慢，,发货,negative,6670
零食踩雷也就算了，毕竟每个人的口味不同，但买的衣服掉色掉毛严重,服饰类质量,negative,6671
李佳琦就是说以后不发冷链的生鲜产品能别上直播间了吗啊？,选品,negative,6672
李佳琦李佳琦棒棒的啊，两年了一直在他直播间买东西，从来没有踩雷！,主播信任度,positive,6673
李佳琦李佳琦老李头加油啊，不要被影响心情啊！,主播支持度,positive,6674
20号后面还有默默买了些东西，我6.18买完信誓旦旦的说双十一不花钱，嗯...不少花钱,主播支持度,positive,6675
李佳琦第一次在李佳琦直播间踩雷，居然是个核桃每打开两颗核桃就有一个坏的也是醉了皮也没有很薄,食品质量,negative,6676
"我没踩雷面膜,但是经常看佳琦直播间其实已经被潜意识种草了。",主播信任度,positive,6677
鳗鲡堂的鳗鱼可太难吃了，好评全是带多图拍的贼好看的那种，真实的差评藏在中间，可别花钱营销了，好好提升口味吧。,食品质量,negative,6678
李佳琦在直播间买的唯一踩雷的单品：丰添防脱发洗发水洗几遍都和没洗头一样，甚至刚吹完头发头就油了。,洗护类质量,negative,6679
防不防脱不知道，但它甚至都没有作为一瓶洗发水该有的作用啊,洗护类质量,negative,6680
李佳琦直播间买的吃的就没有踩雷的,食品质量,positive,6681
今年在佳琦直播间目前都没有踩雷的。,主播信任度,positive,6682
李佳琦直播间说的是哪个品牌吖感觉我买到的没有踩雷，娇兰的包装也还好吧,化妆品质量,positive,6683
佳琦为我们说话的样子，真的好男人,主播支持度,positive,6684
莎布蕾是个什么神仙零食也太好吃了吧李佳琦诚不欺我在他直播间买了这么多零食踩雷的,食品质量,positive,6685
第一次买李佳琦直播间的东西就踩雷，吐了拜拜,主播信任度,negative,6686
在李佳琦直播间盲买的4只colorkey居然都没踩雷全都好好看李佳琦真有你的,化妆品质量,positive,6687
直播间选品也是最用心最靠谱的，买过的所有产品没有踩雷过，反而有些性价比还特别高。,选品,positive,6688
拥有完美唇形的男主播，看他涂口红还是蛮享受的。,主播品质,positive,6689
后面我就再也不去她直播间买东西了，而且说实话，看她直播间就是看不下去，不知道为什么,主播支持度,negative,6690
我大多数都很满意，但是还是免不了遇坑，大家避一避吧我先来：肖三婆的无骨鸡爪！！,食品质量,negative,6691
不是我口味的问题，我朋友吃也是，这个真是踩雷，从此再也不敢在线上买无骨鸡爪了,食品质量,negative,6692
之前无骨鸡爪特别火，直播间买来尝尝，我的天，浓郁的塑料袋味，还很腥，开始以为是温度不凉的事儿，冷藏后也是！,食品质量,negative,6693
李佳琦在我心里褪色了！,主播信任度,negative,6694
李佳琦SamEdelman第一次在李佳琦直播间购物踩雷，我去，就上班穿了一天而已,服饰类质量,negative,6695
使用起来比较清爽，没有任何的油腻感，对于痘痘肌我的来说，也没有闷痘的情况，心水这种牙膏的设计，携带也方便，脸上的粉刺都少了。,护肤品质量,positive,6696
李佳琦直播间买的70度灰卸妆膏，好用到哭，有没有虽说是头一次用sevenjuly家的彩妆，真心不踩雷，就是好用实用！,化妆品质量,positive,6697
像kissme眼妆，都可以靠它轻松卸掉，还不糊眼呢，爱了。,化妆品质量,positive,6698
哇，一颗就够了，好像玫瑰花绽放在你的口腔，两个小时都是香的。,洗护类质量,positive,6699
佳琦这个卖49，我真是第一次感觉到在他直播间没抢到亏了,价格,positive,6700
我真是心疼迪士尼卖给他的联名，这么好的联名不能把质量搞上来是吗？,服饰类质量,negative,6701
能不能找个懂点衣服品质的，至少也是个对生活品质有研究的吧！,服饰类质量,negative,6702
李佳琦踩雷警告，就希望选品提升点儿水平，别跟没见过世面没吃过东西似的，直播间看着吃的叭叭香的，买回来很差,选品,positive,6703
吃了超级一般，只是不踩雷，但绝对不好吃！,食品质量,未知,6704
去年李佳琦直播间买的阿宽面皮和南昌拌粉，真的很难吃，无论怎么做都难吃。,食品质量,negative,6705
到现在都没吃完，快过期了，估计要丢了，完全踩雷。,食品质量,negative,6706
而且就我个人而言，随便在李佳琦直播间买的东西，从没有踩雷过！,主播信任度,positive,6707
李佳琦直播间从未踩雷,主播信任度,positive,6708
举报这个零食，吃了一口就齁甜的要吐。,食品质量,negative,6709
已经不是第一次在李佳琦的直播间零食踩雷了，错了，这不是踩雷，这是踩屎。,食品质量,未知,6710
所以说是不是只要钱给到位，什么垃圾都能进直播间。,选品,negative,6711
太难吃了直接扔了。,食品质量,negative,6712
多次踩雷李佳琦直播间的东西我真的好无语东西你们确定认为很好吗李佳琦直播间李佳琦,主播信任度,negative,6713
直播间买的玉米好难吃啊第一次在李佳琦直播间踩雷李佳琦直播,食品质量,negative,6714
买了双厚底凉鞋踩屎感绝了好酥服李佳琦直播间还是保持未踩雷记录,服饰类质量,positive,6715
遮瑕不错，用了一天，感觉控油还可以。,化妆品质量,positive,6716
佳琦直播间买了DW（1W1），色号好像踩雷了，感觉有点太黄，是不是应该选2C0，,化妆品质量,negative,6717
佳琦直播间买的护肤品，扑面而来的酒精味！,护肤品质量,negative,6718
不说别的，李佳琦直播间很少让我踩雷，有些产品买了还是无限回购款,主播信任度,positive,6719
佳琦直播间用心选品。,选品,positive,6720
从未踩雷的直播间——李佳琦！,主播信任度,positive,6721
qie食堂近期食物踩雷大赏，鹌鹑蛋，怎么会有泡椒味鹌鹑蛋这种东西,食品质量,negative,6722
泡椒无骨鸭掌，李佳琦直播间盲买，什么东西啊）,食品质量,negative,6723
李佳琦直播间买的三月兔踩雷了，吃粉太软，比rt差远了，故事告诉我们还是不能贪便宜！！,食品质量,negative,6724
在佳琦直播间买了一个贼难吃的东西，第一次踩雷！,食品质量,negative,6725
如意梅的玲珑脆汁梅太难吃了,食品质量,negative,6726
太奇怪了，可能是我第一次吃腌的水果，我真的理解不了他的味道！,食品质量,negative,6727
刚开始超级酸，吃进去后腌的味道直冲脑袋，带点咸咸的，感觉像坏了一样！,食品质量,negative,6728
吃完后十几分钟里嗓子特别难受！,食品质量,negative,6729
如果不是我及时喝了牛奶，感觉它会刺激我不停咳嗽！,食品质量,negative,6730
李佳琦直播间的所有产品都是保证了带货的品质和质量的，而且李佳琦为消费者提供的产品都是经过了质量把关的，据我所知李佳琦一直在不断的学习专业知识，所以他推荐的产品都是经过自己试用或者是试吃的才分享给我们，所以从他那入手的产品不会出现踩雷的现象。,选品,positive,6731
在去年2020年的时候，还被评为了上海的五四青年奖章获得者呢，他实在是太优秀了。,主播品质,positive,6732
跟着李佳琦，从不踩雷,主播信任度,positive,6733
我之前在佳琦直播间上入手了很多护肤品，上脸之后都有一种非常刺痛的感觉，用几次之后就不用了,护肤品质量,negative,6734
还是不能退货的那种，前段时间朋友说李佳琦直播间的东西是比较好的，所以我一直跟着李佳琦买东西,主播信任度,positive,6735
跟着李佳琦入手各种护肤品和日用品之后，从来不会出现踩雷的现象。,主播信任度,positive,6736
而且李佳琦不仅是一个带货主播，不仅是直播里面的佼佼者，而且他还是业界的良心人士，比如他经常会做一些公益事件哟。,主播公益事业,positive,6737
李佳琦哦豁，我这是踩雷了吧？,主播信任度,negative,6738
这龙虾的质量唉，还有卖家对这种生鲜食品的破损的态度，以后大概是不会这么盲目的从直播间买吃的了。,食品质量,negative,6739
李佳琦直播间买的吃的相继踩雷，七年五季还是啥季的欧包，还有今天刚到的那个韩国网红面包干。,食品质量,negative,6740
太甜了，我这个甜食超级无敌霹雳爱好者都觉得难吃,食品质量,negative,6741
李佳琦看很多姐妹说这牛排不好.,食品质量,negative,6742
急急忙忙去退货，结果客服说不能退货所以，我也算是直播间踩雷了吗？,售后,negative,6743
踩雷的太多了，而且每次都跟搞批发的一样，能不能不要冲量嘛！！！,主播信任度,negative,6744
我宣布我无条件相信李佳琦买过他直播间的所有东西没有一个踩雷的太顶了,主播信任度,positive,6745
有报道说到他连续12个小时都没有休息，为了能够更快的给大家讲产品，他就在直播间，胡乱的吃面包真的是很努力了！,主播品质,positive,6746
李佳琦直播李佳琦直播间享受买买买的快乐,主播信任度,positive,6747
李佳琦第一次直播间踩雷，蕉下的防晒雨衣，穿上特别闷热，估计就不防晒，只防雨。,服饰类质量,negative,6748
但如果当雨衣，也不太合适当风衣又没质感，,服饰类质量,negative,6749
佳琦主动牺牲自己的直播次数，就为了为贫困山区带货，拉动贫困山区的经济，你们知道吗？,主播公益事业,positive,6750
你可以直接进李佳琦的直播间就能了解到，因为他不会像其他主播那样诱导你,主播品质,positive,6751
李佳琦直播间的东西都是实实在在，没有踩雷入坑之说。,主播信任度,positive,6752
 所以我现在成了佳琦的忠实粉丝，据说“听见青春的声音”五四青年主题活动，李佳琦出席了现场，还发表了演讲呢！！,主播支持度,positive,6753
并且曾经还荣获2020上海市青年五四奖章，是一位德才兼备的好青年了，我自然要向他学习了哦。,主播品质,positive,6754
2020年疫情时期，佳琦就一直在向武汉捐助防疫物资，为“武汉加油”公益项目筹得捐款超7000万元呢！！,主播公益事业,positive,6755
佳琦 这样的偶像不值得我们追捧，还有什么偶像值得我们追捧呢？,主播支持度,positive,6756
更何况他会帮我们推荐很多平价又实用的国货品牌。,价格,positive,6757
颜值与实力并存的人物李佳琦 自从有了网购我这个懒妹子就更不愿意出门了,主播信任度,positive,6758
后来我听朋友说李佳琦直播间里无假货，所以也去了几次,选品,positive,6759
没想到人家颜值与实力并存，不但人长得帅气，而且直播间里买的都是非常棒的平价国货。,价格,positive,6760
 而且人家不光把精力花在赚钱上，还会做公益捐款去贫困山区直播的，用自己最擅长的一方面为大家谋福利做贡献。,主播公益事业,positive,6761
李佳琦直播间踩雷了完全和直播间不一样，一根秋葵，半粒草莓干，一个小小的香菇干，而且味道也不太行！,食品质量,negative,6762
吃一块保证你一天打嗝都是奶香蒜蓉的大概念!,食品质量,negative,6763
李佳琦直播间踩雷了，这个雷还踩得挺别致的。,主播信任度,negative,6764
买了一箱巴黎水，跟我以前买的除了规格不一样，图案啥的都啥差别。切实体会了啥叫进退两难。,饮品质量,negative,6765
联系售后也没任何回复。,售后,negative,6766
最近的成就感来自花37块买的凉鞋，真香！,服饰类质量,positive,6767
李佳琦直播间买滴口红也木有踩雷，春夏试试这种滋润型的口红。,化妆品质量,positive,6768
我再真情实感对李佳琦我就是狗,主播支持度,negative,6769
不能当零食去吃！但是在汤里就超级好吃！,食品质量,positive,6770
感觉是从哪个时间点开始，李佳琦直播间的产品突然急转直下？,选品,negative,6771
大家也有这个感觉吗...踩雷机率大增，每个单品都要看过评论才敢买,主播信任度,negative,6772
李佳琦这个难吃的牛肉是怎么通过选品的，及格线都达不到，牛肉很小，重量都是包装袋，而且有两个漏气的。,选品,negative,6773
牛肉味道后劲有点酸，第一次在直播间踩雷，问漏气怎么赔偿，就赔了2个的价钱。,食品质量,negative,6774
李佳琦发之食谱洗发水慎买哇！,洗护类质量,negative,6775
在直播间买的，用了两次，头发起头屑，还痒，问题是这价格不应该啊，害，替大家踩雷,洗护类质量,negative,6776
拆快递也是十分快乐的图5和6身体乳很喜欢其他都是佳琦直播间买的全部都没有踩雷，棒,选品,positive,6777
下次可以拍一拍零食和小面包系列，不看不知道，我已经吃光12箱南瓜吐司强哥吃光10箱肉松面包，这次给过年囤的王小卤足足12大包，我跟强哥是真的能吃,食品质量,positive,6778
佳琦直播间的粉面看到必买，目前没有一个踩雷，好好吃都，每天吃不够，循环囤货，想拍张全家福是真的难。,食品质量,positive,6779
除了起球肚子稍小适合瘦宝宝以外，现在穿久了也觉得还行。,服饰类质量,negative,6780
腰凳和推车买的是发小二手的，真心后悔，肠子都悔青了。买东西还是自己做功课吧,主播信任度,negative,6781
今晚恰逢宝宝睡得早，又恰逢李佳琦直播间母婴节，买了pouchK05plus餐椅和ibaby睡袋，希望佳琦直播间不会踩雷。,主播信任度,positive,6782
我儿子上段时间已经躺不进去了，防震也不好，也不知道他躺着舒不舒服，反正就是不好。,母婴品质量,negative,6783
今天都还没发货就去戳了客服，才和我说可能没货了真的是我不去问就不和我说，也不知道几时补货,发货,negative,6784
我就想知道有没有人能空手从李佳琦的直播间出来，我真的只是看着看着就下意识下单了空刻意面，恰恰瓜子，奶枣！,主播专业度,positive,6785
李佳琦我在佳琦直播间买过好多好多东西，从来没有踩雷，感觉佳琦选品很严格，好爱佳琦,选品,positive,6786
在佳琦直播间买过很多产品，没有一样踩雷的，相信佳琦。,主播信任度,positive,6787
在佳琦那里买的秋衣薄我当时忍了，起毛球我真的穿一次骂一次，气死我了,服饰类质量,negative,6788
李佳琦所售美容仪涉嫌虚假宣传我在佳琦直播间买了好多东西，都没有踩雷，也可以看出来他是一个很认真负责的人,主播信任度,positive,6789
迄今为止在佳琦直播间买的吃的都没踩雷,选品,positive,6790
佳琦直播间买了1年从来没踩雷，而且真的是买到就是省钱,价格,positive,6791
都在佳琦直播间买东西，真的觉得够良心，而且没踩雷，佳琦真的很棒了,主播信任度,positive,6792
我在佳琦直播间目前还是没有踩雷的，正能量满满的，就该支持,主播支持度,positive,6793
支持李佳琦,主播支持度,positive,6794
只想说李佳琦直播间买的安瓶面膜和完美日记粉饼没踩雷，真的真的真的超好用！！,护肤品质量,positive,6795
低糖，低卡，0脂，补水0负担，没有任何添加剂自从有了佳果源的椰子水，我的冰箱里再也没有可乐雪碧这些碳酸饮料啦..,饮品质量,positive,6796
冷藏后再喝那个味道真的巨好喝姐妹们安排起来啊！,饮品质量,positive,6797
上次蹲李佳琦的直播间种草了佳果源椰子水果然很好喝，跟着佳琦买买买准没错从不踩雷,饮品质量,positive,6798
佳果源椰子水真的很宝藏大夏天的喝几口就感觉燥热感一扫而光椰子水的口感很清爽,饮品质量,positive,6799
不愧是100%纯纯的椰子水，连水也没加还富含电解质，可快速补充水分每次跳完绳我都要来上一瓶快速恢复体能，真的很赞哦！,饮品质量,positive,6800
李佳琦那买的东西就都挺好的，吃喝用都不错，安利也是认真安利。,选品,positive,6801
天呐，这年头像佳琦一样能真心推荐的太少了！！,主播支持度,positive,6802
我在他直播间买的吃的从来没踩雷过，他说好吃那真的就是好吃！,食品质量,positive,6803
佳琦推荐的产品买过的美眉都清楚，都很好。,选品,positive,6804
李佳琦真的太良心了，本来打算买这款洗发水，然后他说头发毛躁的美眉就不要买了，有很多头屑的可以买。,主播品质,positive,6805
他就是有一说一，不会为了一点小利益去忽悠粉丝买不适合自己的东西，会为了我们考虑,主播品质,positive,6806
别人那边也有便宜的好货，但是真的只有李佳琦，是我无条件相信的，狂推佳琦！,主播信任度,positive,6807
在佳琦直播间买的zara祖玛珑香水太可了！！,化妆品质量,positive,6808
盲买成功没试竟然也没踩雷柚子和送的乌木都OK不过乌木我闻着感觉像奶甜奶甜的话梅糖,食品质量,positive,6809
今年过年才开始接触直播，关注了佳琦直播间，佳琦直播间选品都很棒,选品,positive,6810
佳琦直播间客服态度太败好感了，就更不关注了。,售后,negative,6811
最近直播间剁手了很多好吃的，竟然都没踩雷。,食品质量,positive,6812
还是李佳琦的推荐放心安心！,主播信任度,positive,6813
不可能是商家给的直播间东西和发出来的货不一样吧！好歹坐拥几千万粉丝的大主播，质量把控这么差？,选品,negative,6814
佳琦哥哥爱了爱了他直播间买的彩妆目前还没踩雷,化妆品质量,positive,6815
在直播间买了几次东西都特别特别好用的前提下对李佳琦直播间的信任度特别高,主播信任度,positive,6816
先到手一个特别特别破的小破盒子。一个角都烂烂腾腾的有点怼进去了。,包装,negative,6817
最让我生气的是明明产品是主打的是酥，结果只是薄的地方才会有点酥其他厚一点的地方咋一吃到都硌牙!!!良品铺子三只松鼠的湿猪肉脯他不香吗!!!我真是信了他的邪买了这个。,食品质量,negative,6818
而且下了单好多天才发货!今天来快递短信的时候我都忘记自己买的啥了!,发货,negative,6819
再也不会无脑信佳琦了。尤其是还有利益在的东西。,主播信任度,negative,6820
希望看到的各位不要买【王福记】家的酥香猪肉脯。,食品质量,negative,6821
就前些天那个零食节!因为我日常就是猪肉脯狂热爱好者所以看见直播间卖就闭眼买了没做功课也没看眼评论就这最信任的这次!踩雷了!!!!!!,主播信任度,negative,6822
本来以为贵就贵点吧可能有人家的道理结果贵在广告费上了吗？,价格,negative,6823
这是装食物的配置怎么看怎么跟那种小脏作坊发出来的一样打开之后已经有一点肉片碎碎的了,食品质量,negative,6824
性价比贼差!,性价比,negative,6825
而且可能是沫沫的原因比别的猪肉脯还咸很多但是直播的时候我记得李佳琦和别人还说过特别酥脆一点都不齁人。,食品质量,negative,6826
李佳琦直播间买的圣牧酸奶，结果一看是蒙牛的，可把我恶心坏了！,饮品质量,negative,6827
佳琪直播间抢到的鱼皮！！太好吃了,食品质量,positive,6828
超级快到手了佳琦直播间直播吃的，看到吃的我爱死了看到的时候真的非常有诱惑力！,食品质量,positive,6829
尤其是搭着火锅吃！,食品质量,positive,6830
感觉很新奇，我自己之前吃鱼皮比较少，而且也都是直接吃！,食品质量,positive,6831
没有想到竟然还可以搭配着火锅吃！,食品质量,positive,6832
我专门带着鱼皮去了海底捞味道果然不一样爱了爱了不踩雷港式香脆鱼皮,食品质量,positive,6833
李佳琦太专业了，什么都想买！,主播专业度,positive,6834
这个梅片上瘾啊 我一晚上吃两包！,食品质量,positive,6835
晚上追剧的时候要来一片 紫苏梅片喜欢吃酸甜味的的居居选这个！,食品质量,positive,6836
我长肉的时候，没有一个李佳琦是无辜的他太蛊了太蛊了 我在他直播间买了不下10次的零食鹅且基本都没有踩雷的,食品质量,positive,6837
 服了这个男人了这个梅片真的是好吃！,食品质量,positive,6838
微微甜咬一口都是幸福啊 比那些只会硬邦邦没有嚼头的梅子 强了一座珠穆朗玛峰叭原味梅片介个比紫苏稍微酸,食品质量,positive,6839
一丢丢 梅子的味道更重我妈就喜欢这个口味的她一个人能吃一包 惊了我妈是不咋爱吃零食的一个人,食品质量,positive,6840
独立包装干净我买了好几包 家里弟弟妹妹来的时候分着吃 幸福！,食品质量,positive,6841
每一次我去佳琦直播间，都有一个想法那就是一定要努力赚钱，因为想买的东西真是太太太太太多了！,主播信任度,positive,6842
我真的很相信佳琦推荐的东西，因为买了很多次真的很好用，没有一次踩雷的，所以佳琦直播间是我的首选,主播信任度,positive,6843
佳琦直播间踩雷之茉莉精油，真的太难闻了，一开盖还好，抹了以后真的想吐，无法形容什么味，就是想吐。,洗护类质量,negative,6844
售后还是可以的，描述不符就会处理，水果坏了就赔，餐具碎了就退。,售后,positive,6845
我我我我第一次在佳琦直播间剁手小白瓶，然后毫不意外的没有踩雷，真的很会挑产品！,洗护类质量,positive,6846
开开心心入他的坑，李佳琦,主播支持度,positive,6847
重点是没有踩雷赫丽尔斯玫瑰安瓶（灵芝的我还没用）,洗护类质量,positive,6848
还有朵梵这个小粉瓶干皮的姐妹真的可以一试吸收嗖嗖的这两款产品涂完真的是完全不粘不假滑！,护肤品质量,positive,6849
肤感超级棒！,护肤品质量,positive,6850
最近也不叠加使用精华了承受不住了夏天还是清清爽爽点好,护肤品质量,positive,6851
李佳琦直播间薅羊毛谁不爱啊！,价格,positive,6852
看着像模像样，其实这个意面也超难吃的，,食品质量,negative,6853
李佳琦直播间连续踩雷！,主播信任度,negative,6854
自从我开始在直播上买东西之后对李佳琦印象真的是好！,主播支持度,positive,6855
从来没穿过这么好穿的内裤。。。,服饰类质量,positive,6856
我在佳琦直播间买的东西没有任何一件踩雷的,主播信任度,positive,6857
一个男主播卖的女生内裤怎么会那么那么好穿！,服饰类质量,positive,6858
面料超舒服最重要的是完完全全不卡，买过那种很贵的牌子的内裤也是会卡的卡那种感觉真的太尴尬了,服饰类质量,positive,6859
公共场合总不能一直伸手去整理内裤吧穿了李佳琦直播间买的这款，刚刚上厕所我甚至忘了提起来，直接把裤子给提起来了,服饰类质量,positive,6860
说句实话，小助理和李佳琦推荐的东西，我都没有踩雷，而且真的是看得开心买得开心。,选品,positive,6861
踩雷，佳琦直播间买的，老妈老弟我都觉得不好吃，我看还有多少人觉得不好吃,食品质量,negative,6862
最近在李佳琦直播间疯狂的买了这些零食，居然全部都没有踩雷！,食品质量,positive,6863
卡乐比的薯条三兄弟根本停不下来！,食品质量,positive,6864
茉莉的乳茶也太清香了吧！,饮品质量,positive,6865
李佳琦最近在直播间买的都是饮料Meco那个真的有惊喜到，很明显的草莓和蓝莓的味道！,饮品质量,positive,6866
到货之前我还怕踩雷，反正我超爱！,主播信任度,positive,6867
然后港式奶茶真的好苦，个人不太习惯。,饮品质量,negative,6868
这款茶奶就比较适合住校生在学校一缓奶茶之思维他茶我本身就是特别喜欢才买的(上,饮品质量,positive,6869
一直最想买的眼影盘！真的是太好看了！！,化妆品质量,positive,6870
某面说感觉不是太好吃有点点踩雷图二：在佳琦直播间抢到的牛油果酥！,食品质量,positive,6871
超级清爽的口感！,食品质量,positive,6872
一点都不腻越吃越想吃！吃完以后满嘴都是清香味！,食品质量,positive,6873
感觉李佳琦要凉凉了吗？一个月以来连续踩雷。,选品,negative,6874
之前爸妈买的都是第一次挺好的，但是后面再买就是粒少又小，看别人评论买也还是会踩雷。,食品质量,negative,6875
Meco果汁茶一直是我的续命水，几个口味都超好喝，不会踩雷！,饮品质量,positive,6876
我家冰箱里Meco果汁茶从来没断过！,饮品质量,positive,6877
今天在李佳琦直播间看到Meco新出的口味樱桃莓莓，果断快手速抢了几箱！,饮品质量,positive,6878
李佳琦直播间抢的两样都踩雷了不好吃,食品质量,positive,6879
买过她推荐的洗面奶，说实话一般！,护肤品质量,negative,6880
佳琦的话我喜欢他的观念，他作为一个主播，给选东西然后作为一个导购给推荐给用户，会在直播间告诉15岁的孩子合理购物，读书的孩子没必要买口红！,主播品质,positive,6881
所以现在我都不买她卖的零食，经常看直播的人都能看出来，李佳琦的品比较少，而且经常是重复的东西,选品,negative,6882
感觉佳琦团队选品真的很严格，不是什么都会卖的,选品,positive,6883
内涵真的太没有必要了，一个大主播真的能不能传递点正能量，这样真的挺过分的,主播品质,negative,6884
李佳琦直播间的，真的可以说基本没有踩雷。,主播信任度,positive,6885
就三观来看，更喜欢李佳琦。,主播品质,positive,6886
吃的用的都有；李佳琦的只有一个零食我不太喜欢，太干了。,食品质量,negative,6887
刘诗诗去李佳琦直播间哈哈哈哈哈哈我要被笑死了！,直播间氛围,positive,6888
李佳琦自己踩雷自己口红！,化妆品质量,negative,6889
连我爹都知道我特别喜欢李佳琦，还说高考时候，我可以去试试电商，去搞搞直播，做做美妆博主生活博主。,主播支持度,positive,6890
然后我现在看着自己的淘宝还有桌子上的东西，大部分都是李佳琦直播间的，买回来的都没有踩雷,主播信任度,positive,6891
进了淘宝直播这个圈子里头都粉上了李佳琦李佳琦反正佳琪哥直播大概晚上八点一刻，我一个预备高三党把看直播作为学习动力，真好。,主播支持度,positive,6892
佳琦就是顶流，有人品，有眼光，颜值高的top1主播我看见某app的开屏我都想给wuli佳琦争番位了。,主播品质,positive,6893
我在佳琦直播间买的东西，只有红地球粉底液踩雷了，因为我买了之后才发现我他妈原来不是干皮哦,主播信任度,positive,6894
李佳琦直播间第一个踩雷的，不是说它不好而是用完黏黏的，特别不习惯。,洗护类质量,negative,6895
最爱d小台芒啧啧李佳琦直播间买吃的又踩雷一次还没送的小圆饼好吃(.,食品质量,positive,6896
李佳琦眼眶红了佳琦三观超正！,主播品质,positive,6897
佳琦直播间买的东西也没有踩雷过！,主播信任度,positive,6898
在他直播间，之前他还教化妆，他的三观真的很正，他爆红，我觉得他真的值得。,主播品质,positive,6899
后来我就把他的直播当成综艺看，学到了很多为人处事的方式，说话方式，他真的很温柔！,主播品质,positive,6900
佳琦会照顾到大部分人的情绪。,主播品质,positive,6901
晚上不管买不买东西，也会点开直播，默默的看，弹幕也超级好玩。,直播间氛围,positive,6902
佳琦值得，你的团队也值得！,主播支持度,positive,6903
我大概两年半前就开始看李佳琦的直播，那时候他还不怎么火，但是他真的会挑选便宜实惠的产品给粉丝,价格,positive,6904
我买过的东西也不少，基本上没有踩雷的,选品,positive,6905
李佳琦直播间踩雷，ziaja面膜，天花乱坠一顿吹，这么浓的化学香味让他说成很好闻很好闻的奶香味,护肤品质量,negative,6906
其然，敷完之后过敏了，平均3块多一袋也敢上脸我真是服了我自己，李佳琦的嘴，骗人的鬼啊。,护肤品质量,negative,6907
艾杜纱睫毛打底超级好用很自然而且不晕染（毕竟我是kissme都晕的人）,化妆品质量,positive,6908
李佳琦我的十字霜到啦趁着38节在佳琦直播间抢的送了好多东西希望可以拯救我的脸！,主播信任度,positive,6909
做功课的时候发现好评还是很多的没啥踩雷的到手之后第一感觉也还棒棒的感觉我要起飞了！我的脸，感觉要得救了！,主播信任度,positive,6910
李佳琦直播间买的康如芍药踩雷无疑了...每次花样作死买点小众洗发水结果都不尽如人意太难了,洗护类质量,negative,6911
李佳琦直播间买的红地球粉底液30g27g划算！！,价格,positive,6912
这大概是我在李佳琦直播间买到的最踩雷的东西了。,主播信任度,negative,6913
然后我就立马找客服，结果根本没有客服理人，真的很气！,售后,negative,6914
这我要是没扣直接吃下去了想想就恶心，现在其他几包也不敢吃了，毕竟是一批货。,食品质量,negative,6915
李佳琦在直播间买的零食工坊芒果干踩雷了，昨天晚上刚收到货想吃一块，刚拆开第一包拿出一块，发现上面有个黑点，我也没在意用手指扣了一下，结果是个虫子！,食品质量,negative,6916
李佳琦为什么李佳琪明明让我踩雷了俩次，我还是会点开他直播间过一遍推荐列表。,主播信任度,positive,6917
可能就跟小的时候喜欢逛超市一样，看到琳琅满目的商品总能让人感到满足和快乐吧。,直播间氛围,positive,6918
最近在佳琦直播间买的美妆护肤，无一踩雷！,化妆品质量,positive,6919
我惊呆了他真的好神奇，我爱了！,主播支持度,positive,6920
佳琦直播间的玉泽面膜名不虚传。,护肤品质量,positive,6921
佳琦直播间买的东西，目前都还没有踩雷的东西呢。,主播信任度,positive,6922
李佳琦直播间买的拌面，我觉得酱味太抢戏了，有点踩雷,食品质量,negative,6923
李佳琦直播间买的这个akoko曲奇口感真的绝了，又酥又糯，入口即化。,食品质量,positive,6924
别人看李佳琦都是为了买化妆品，只有我是为了买零食，还有那个雪媚娘蛋黄酥和藤桥鸭舌都没踩雷,食品质量,positive,6925
李佳琦直播间购物报告什么值得买，colorkey，花西子拉面说，韩束，三顿半，AKOKO，跟着李佳琦直播间买买买,主播信任度,positive,6926
